Payment Date,Recurring,Total Payments Value
5/31/2025,1,"$1,411.75 "
5/31/2025,0,"$5,713.82 "
5/30/2025,1,"$4,672.83 "
5/30/2025,0,"$26,939.36 "
5/29/2025,1,"$4,942.63 "
5/29/2025,0,"$50,629.35 "
5/28/2025,1,"$39,588.93 "
5/28/2025,0,"$32,210.80 "
5/27/2025,1,"$32,634.80 "
5/27/2025,0,"$65,259.88 "
5/26/2025,1,"$16,618.20 "
5/26/2025,0,"$25,346.39 "
5/25/2025,1,"$20,086.09 "
5/25/2025,0,"$3,693.00 "
5/24/2025,1,"$20,862.72 "
5/24/2025,0,"$6,734.00 "
5/23/2025,1,"$18,612.34 "
5/23/2025,0,"$27,162.61 "
5/22/2025,1,"$25,974.21 "
5/22/2025,0,"$22,729.99 "
5/21/2025,1,"$26,469.52 "
5/21/2025,0,"$16,870.80 "
5/20/2025,1,"$20,869.25 "
5/20/2025,0,"$21,960.38 "
5/19/2025,1,"$16,492.40 "
5/19/2025,0,"$52,271.74 "
5/18/2025,1,"$18,194.16 "
5/18/2025,0,"$5,953.76 "
5/17/2025,1,"$25,866.24 "
5/17/2025,0,"$6,520.49 "
5/16/2025,1,"$24,985.08 "
5/16/2025,0,"$26,245.15 "
5/15/2025,1,"$24,084.72 "
5/15/2025,0,"$51,067.36 "
5/14/2025,1,"$21,057.22 "
5/14/2025,0,"$23,800.64 "
5/13/2025,1,"$21,544.54 "
5/13/2025,0,"$34,074.16 "
5/12/2025,1,"$21,868.56 "
5/12/2025,0,"$62,627.06 "
5/11/2025,1,"$19,575.61 "
5/11/2025,0,"$4,033.94 "
5/10/2025,1,"$25,046.82 "
5/10/2025,0,"$4,300.77 "
5/9/2025,1,"$20,815.10 "
5/9/2025,0,"$37,983.18 "
5/8/2025,1,"$24,873.35 "
5/8/2025,0,"$32,450.39 "
5/7/2025,1,"$21,355.40 "
5/7/2025,0,"$73,911.70 "
5/6/2025,1,"$19,404.84 "
5/6/2025,0,"$18,206.82 "
5/5/2025,1,"$21,482.01 "
5/5/2025,0,"$51,622.53 "
5/4/2025,1,"$19,933.22 "
5/4/2025,0,"$5,960.71 "
5/3/2025,1,"$23,971.40 "
5/3/2025,0,"$8,846.48 "
5/2/2025,1,"$22,124.84 "
5/2/2025,0,"$34,457.87 "
5/1/2025,1,"$52,167.36 "
5/1/2025,0,"$34,528.32 "
4/30/2025,1,"$5,754.88 "
4/30/2025,0,"$56,769.50 "
4/29/2025,1,"$5,419.31 "
4/29/2025,0,"$18,390.88 "
4/28/2025,1,"$41,626.73 "
4/28/2025,0,"$105,400.88 "
4/27/2025,1,"$34,161.63 "
4/27/2025,0,"$6,345.84 "
4/26/2025,1,"$15,752.89 "
4/26/2025,0,"$6,824.00 "
4/25/2025,1,"$18,909.76 "
4/25/2025,0,"$70,951.07 "
4/24/2025,1,"$19,918.83 "
4/24/2025,0,"$31,776.53 "
4/23/2025,1,"$17,582.69 "
4/23/2025,0,"$15,363.51 "
4/22/2025,1,"$24,887.71 "
4/22/2025,0,"$30,187.29 "
4/21/2025,1,"$26,233.85 "
4/21/2025,0,"$72,597.60 "
4/20/2025,1,"$20,166.23 "
4/20/2025,0,"$4,972.72 "
4/19/2025,1,"$17,235.56 "
4/19/2025,0,"$4,957.94 "
4/18/2025,1,"$19,081.82 "
4/18/2025,0,"$40,127.40 "
4/17/2025,1,"$23,601.45 "
4/17/2025,0,"$43,266.65 "
4/16/2025,1,"$24,422.65 "
4/16/2025,0,"$28,906.76 "
4/15/2025,1,"$22,925.47 "
4/15/2025,0,"$29,301.14 "
4/14/2025,1,"$19,587.21 "
4/14/2025,0,"$69,605.66 "
4/13/2025,1,"$20,022.74 "
4/13/2025,0,"$4,411.04 "
4/12/2025,1,"$20,194.47 "
4/12/2025,0,"$7,062.98 "
4/11/2025,1,"$17,604.78 "
4/11/2025,0,"$45,707.68 "
4/10/2025,1,"$21,011.32 "
4/10/2025,0,"$34,319.22 "
4/9/2025,1,"$21,188.42 "
4/9/2025,0,"$35,325.78 "
4/8/2025,1,"$22,497.41 "
4/8/2025,0,"$35,716.11 "
4/7/2025,1,"$20,549.25 "
4/7/2025,0,"$56,039.95 "
4/6/2025,1,"$22,297.28 "
4/6/2025,0,"$7,072.43 "
4/5/2025,1,"$17,820.96 "
4/5/2025,0,"$5,708.14 "
4/4/2025,1,"$22,234.17 "
4/4/2025,0,"$25,511.83 "
4/3/2025,1,"$28,486.16 "
4/3/2025,0,"$30,632.63 "
4/2/2025,1,"$21,409.12 "
4/2/2025,0,"$38,308.10 "
4/1/2025,1,"$51,161.60 "
4/1/2025,0,"$57,545.51 "
3/31/2025,1,"$1,481.51 "
3/31/2025,0,"$56,316.40 "
3/30/2025,1,"$5,139.42 "
3/30/2025,0,"$4,111.86 "
3/29/2025,1,"$5,421.83 "
3/29/2025,0,"$8,420.34 "
3/28/2025,1,"$40,499.10 "
3/28/2025,0,"$38,501.91 "
3/27/2025,1,"$31,227.33 "
3/27/2025,0,"$27,856.58 "
3/26/2025,1,"$15,402.19 "
3/26/2025,0,"$25,861.97 "
3/25/2025,1,"$18,440.32 "
3/25/2025,0,"$32,863.36 "
3/24/2025,1,"$19,783.17 "
3/24/2025,0,"$93,688.03 "
3/23/2025,1,"$18,377.18 "
3/23/2025,0,"$5,121.60 "
3/22/2025,1,"$24,766.56 "
3/22/2025,0,"$7,680.89 "
3/21/2025,1,"$24,399.59 "
3/21/2025,0,"$26,289.49 "
3/20/2025,1,"$21,193.06 "
3/20/2025,0,"$82,366.75 "
3/19/2025,1,"$16,535.91 "
3/19/2025,0,"$25,630.09 "
3/18/2025,1,"$15,421.03 "
3/18/2025,0,"$34,429.87 "
3/17/2025,1,"$22,582.15 "
3/17/2025,0,"$50,983.73 "
3/16/2025,1,"$28,284.33 "
3/16/2025,0,"$6,870.28 "
3/15/2025,1,"$20,533.53 "
3/15/2025,0,"$6,861.46 "
3/14/2025,1,"$18,317.88 "
3/14/2025,0,"$26,418.41 "
3/13/2025,1,"$20,479.85 "
3/13/2025,0,"$39,501.88 "
3/12/2025,1,"$21,885.64 "
3/12/2025,0,"$35,940.43 "
3/11/2025,1,"$16,821.66 "
3/11/2025,0,"$33,836.77 "
3/10/2025,1,"$21,734.20 "
3/10/2025,0,"$73,134.67 "
3/9/2025,1,"$19,840.76 "
3/9/2025,0,"$9,119.21 "
3/8/2025,1,"$26,930.04 "
3/8/2025,0,"$7,839.67 "
3/7/2025,1,"$20,844.92 "
3/7/2025,0,"$41,133.35 "
3/6/2025,1,"$16,703.07 "
3/6/2025,0,"$29,349.85 "
3/5/2025,1,"$17,047.42 "
3/5/2025,0,"$30,028.16 "
3/4/2025,1,"$21,394.07 "
3/4/2025,0,"$57,631.70 "
3/3/2025,1,"$24,460.54 "
3/3/2025,0,"$92,565.12 "
3/2/2025,1,"$20,878.35 "
3/2/2025,0,"$9,389.45 "
3/1/2025,1,"$49,070.38 "
3/1/2025,0,"$11,728.87 "
2/28/2025,1,"$54,857.67 "
2/28/2025,0,"$33,706.53 "
2/27/2025,1,"$29,989.29 "
2/27/2025,0,"$27,973.46 "
2/26/2025,1,"$16,468.48 "
2/26/2025,0,"$19,478.08 "
2/25/2025,1,"$17,020.52 "
2/25/2025,0,"$62,515.75 "
2/24/2025,1,"$19,415.87 "
2/24/2025,0,"$82,897.98 "
2/23/2025,1,"$18,474.90 "
2/23/2025,0,"$6,453.69 "
2/22/2025,1,"$23,478.71 "
2/22/2025,0,"$6,343.96 "
2/21/2025,1,"$21,910.29 "
2/21/2025,0,"$26,441.26 "
2/20/2025,1,"$20,550.25 "
2/20/2025,0,"$27,666.63 "
2/19/2025,1,"$15,283.14 "
2/19/2025,0,"$16,263.02 "
2/18/2025,1,"$14,666.58 "
2/18/2025,0,"$53,661.76 "
2/17/2025,1,"$20,427.34 "
2/17/2025,0,"$21,440.95 "
2/16/2025,1,"$25,575.04 "
2/16/2025,0,"$5,519.28 "
2/15/2025,1,"$20,549.25 "
2/15/2025,0,"$8,447.87 "
2/14/2025,1,"$16,672.79 "
2/14/2025,0,"$30,157.22 "
2/13/2025,1,"$19,760.56 "
2/13/2025,0,"$37,159.61 "
2/12/2025,1,"$21,829.25 "
2/12/2025,0,"$31,708.73 "
2/11/2025,1,"$15,482.81 "
2/11/2025,0,"$21,951.67 "
2/10/2025,1,"$19,453.93 "
2/10/2025,0,"$61,734.24 "
2/9/2025,1,"$18,836.55 "
2/9/2025,0,"$5,079.49 "
2/8/2025,1,"$23,422.11 "
2/8/2025,0,"$6,743.39 "
2/7/2025,1,"$19,654.22 "
2/7/2025,0,"$61,201.20 "
2/6/2025,1,"$16,113.97 "
2/6/2025,0,"$18,805.00 "
2/5/2025,1,"$16,172.31 "
2/5/2025,0,"$20,431.74 "
2/4/2025,1,"$19,843.02 "
2/4/2025,0,"$52,742.68 "
2/3/2025,1,"$22,853.54 "
2/3/2025,0,"$52,610.08 "
2/2/2025,1,"$19,944.49 "
2/2/2025,0,"$7,265.89 "
2/1/2025,1,"$50,882.07 "
2/1/2025,0,"$11,159.74 "
1/31/2025,1,"$1,191.86 "
1/31/2025,0,"$46,117.01 "
1/30/2025,1,"$4,594.36 "
1/30/2025,0,"$37,931.14 "
1/29/2025,1,"$4,872.53 "
1/29/2025,0,"$22,151.06 "
1/28/2025,1,"$39,531.84 "
1/28/2025,0,"$16,261.85 "
1/27/2025,1,"$30,096.02 "
1/27/2025,0,"$126,985.66 "
