Payment Date,Total Payments Value,day_of_week,day_of_month,month,year,days_since_start
2024-05-01,68787.25,2,1,5,2024,0
2024-05-02,40490.71,3,2,5,2024,1
2024-05-03,42881.31,4,3,5,2024,2
2024-05-04,16309.82,5,4,5,2024,3
2024-05-05,18323.949999999997,6,5,5,2024,4
2024-05-06,64656.67,0,6,5,2024,5
2024-05-07,22831.010000000002,1,7,5,2024,6
2024-05-08,39480.84,2,8,5,2024,7
2024-05-09,48408.87,3,9,5,2024,8
2024-05-10,50897.11,4,10,5,2024,9
2024-05-11,13682.1,5,11,5,2024,10
2024-05-12,21384.66,6,12,5,2024,11
2024-05-13,92378.44,0,13,5,2024,12
2024-05-14,25453.42,1,14,5,2024,13
2024-05-15,40368.44,2,15,5,2024,14
2024-05-16,50911.990000000005,3,16,5,2024,15
2024-05-17,44131.93,4,17,5,2024,16
2024-05-18,13367.48,5,18,5,2024,17
2024-05-19,11672.25,6,19,5,2024,18
2024-05-20,92550.32,0,20,5,2024,19
2024-05-21,31739.520000000004,1,21,5,2024,20
2024-05-22,41525.44,2,22,5,2024,21
2024-05-23,36376.24,3,23,5,2024,22
2024-05-24,43636.4,4,24,5,2024,23
2024-05-25,17342.73,5,25,5,2024,24
2024-05-26,12349.33,6,26,5,2024,25
2024-05-27,31488.25,0,27,5,2024,26
2024-05-28,85643.47,1,28,5,2024,27
2024-05-29,33186.39,2,29,5,2024,28
2024-05-30,48499.5,3,30,5,2024,29
2024-05-31,31941.59,4,31,5,2024,30
2024-06-01,47061.12,5,1,6,2024,31
2024-06-02,19299.46,6,2,6,2024,32
2024-06-03,64977.83,0,3,6,2024,33
2024-06-04,27869.489999999998,1,4,6,2024,34
2024-06-05,35726.45,2,5,6,2024,35
2024-06-06,41151.490000000005,3,6,6,2024,36
2024-06-07,123595.56,4,7,6,2024,37
2024-06-08,20885.579999999998,5,8,6,2024,38
2024-06-09,17807.15,6,9,6,2024,39
2024-06-10,107419.73,0,10,6,2024,40
2024-06-11,47056.85,1,11,6,2024,41
2024-06-12,38440.7,2,12,6,2024,42
