Payment Date,Forecasted Total Payments Value,Forecasted Lower Bound,Forecasted Upper Bound,trend,monthly,weekly
2025-06-01,27889.50423098424,6478.866145999456,50107.54698238187,54854.2613438189,-3465.6423930014307,-23499.11471983323
2025-06-02,98813.98917837828,77861.61309472345,120861.50011530056,54891.685825176464,13127.330412773044,30794.972940428786
2025-06-03,59646.87911670214,37746.5323499444,81778.36612480506,54929.11030653403,1957.3572920037789,2760.411518164334
2025-06-04,48148.328394160686,26965.34776786166,70436.9191982689,54966.53478789159,-5974.265497852936,-843.940895877972
2025-06-05,62752.866208600724,41718.63436443419,84665.2057573917,55003.95926924915,639.123063665779,7109.7838756857955
2025-06-06,61716.61480466813,40207.849657736835,82908.25547219045,55041.383750606714,330.567375968649,6344.66367809276
2025-06-07,33184.664768474366,10227.950072397665,54967.96989608776,55078.80823196428,772.6329330156407,-22666.77639650556
2025-06-08,39253.86643346705,16732.74725138586,60852.92199636038,55116.23271332184,7636.748439957881,-23499.11471981268
2025-06-09,92399.1927367585,68458.28344688265,113906.09419071667,55153.65719467939,6450.562601644415,30794.972940434698
2025-06-10,61303.84280984649,39770.87724500727,81613.95078091502,55191.081676036956,3352.3496156821243,2760.4115181274037
2025-06-11,59049.80707858976,37728.76810453048,79350.27413447299,55228.50615739452,4665.241817081959,-843.9408958867234
2025-06-12,64227.21771572261,43231.375772359665,86190.87985406366,55265.930638752085,1851.503201318028,7109.783875652499
2025-06-13,61217.556089343285,41590.161724503596,81714.96512902797,55303.35512010964,-430.4627088221268,6344.663678055771
2025-06-14,31907.188371541495,10562.15501443272,54374.78713510097,55340.779601467206,-766.8148334758152,-22666.776396449895
2025-06-15,27146.11582853266,4794.050373629645,49486.999078795256,55378.20408282477,-4732.973534339245,-23499.114719952864
2025-06-16,84062.60949935409,61872.5234877585,105002.19852879264,55415.628564182334,-2147.9920052132343,30794.972940384985
2025-06-17,62872.01903802549,41745.39292856726,83765.81082092173,55453.05304553989,4658.554474395128,2760.4115180904764
2025-06-18,55524.178207027435,32716.19541054149,76558.88690052336,55490.477526897455,877.6415759801066,-843.9408958501275
2025-06-19,59472.706543368586,38801.29149543415,80616.2511457343,55527.90200825502,-3164.97934056787,7109.783875681434
2025-06-20,61197.45041742697,38648.68612108151,82687.84302179249,55565.326489612584,-712.5397503911764,6344.663678205557
2025-06-21,29588.001151652505,9654.629708193166,51196.57654677263,55602.75097097014,-3347.9734228071784,-22666.776396510457
2025-06-22,27490.106077074477,7301.835182909607,49316.29260754808,55640.175452327705,-4650.954655320918,-23499.114719932313
2025-06-23,86490.12605996971,66366.01651678847,108662.9685631171,55677.59993368527,17.553185893552595,30794.972940390897
2025-06-24,55665.62786556458,32516.51504133463,79401.37090601175,55715.02441504283,-2809.8080675512856,2760.41151807303
2025-06-25,46030.76103448455,25059.37008787051,68634.88713888054,55752.4488964004,-8877.746966011611,-843.9408959042316
2025-06-26,56472.17803943305,35274.11617447248,77271.91171462186,55789.873377757955,-6427.479213953936,7109.783875629031
2025-06-27,64540.502547185846,43013.311282254115,86244.64299432375,55827.29785911552,2368.541009968543,6344.663678101785
2025-06-28,45920.92131389416,25601.613540742885,68215.49034770486,55864.72234047308,12722.975369992097,-22666.77639657102
2025-06-29,40937.90416457606,18786.937236047914,61787.91056607853,55902.14682183065,8534.872062619246,-23499.114719873833
2025-06-30,73724.1424494234,51332.02805390788,95281.45395922696,55939.571303188204,-13010.401794171854,30794.972940407046
