Payment Date,Total Payments Value
2024-05-01,68787.25
2024-05-02,40490.71
2024-05-03,42881.31
2024-05-04,16309.82
2024-05-05,18323.949999999997
2024-05-06,64656.67
2024-05-07,22831.010000000002
2024-05-08,39480.84
2024-05-09,48408.87
2024-05-10,50897.11
2024-05-11,13682.1
2024-05-12,21384.66
2024-05-13,92378.44
2024-05-14,25453.42
2024-05-15,40368.44
2024-05-16,50911.990000000005
2024-05-17,44131.93
2024-05-18,13367.48
2024-05-19,11672.25
2024-05-20,92550.32
2024-05-21,31739.520000000004
2024-05-22,41525.44
2024-05-23,36376.24
2024-05-24,43636.4
2024-05-25,17342.73
2024-05-26,12349.33
2024-05-27,31488.25
2024-05-28,85643.47
2024-05-29,33186.39
2024-05-30,48499.5
2024-05-31,31941.59
2024-06-01,47061.12
2024-06-02,19299.46
2024-06-03,64977.83
2024-06-04,27869.489999999998
2024-06-05,35726.45
2024-06-06,41151.490000000005
2024-06-07,123595.56
2024-06-08,20885.579999999998
2024-06-09,17807.15
2024-06-10,107419.73
2024-06-11,47056.85
2024-06-12,38440.7
2024-06-13,39371.130000000005
2024-06-14,60282.94
2024-06-15,18397.18
2024-06-16,26600.940000000002
2024-06-17,83061.48000000001
2024-06-18,33763.86
2024-06-19,27010.77
2024-06-20,31639.829999999998
2024-06-21,33227.520000000004
2024-06-22,21375.659999999996
2024-06-23,15332.3
2024-06-24,51427.38
2024-06-25,29493.35
2024-06-26,23104.34
2024-06-27,82998.78
2024-06-28,61069.06
2024-06-29,7197.73
2024-06-30,8429.81
2024-07-01,142807.15
2024-07-02,26957.48
2024-07-03,30533.54
2024-07-04,14508.419999999998
2024-07-05,67678.93000000001
2024-07-06,17414.75
2024-07-07,21220.65
2024-07-08,86809.13
2024-07-09,27046.54
2024-07-10,39098.47
2024-07-11,48110.08
2024-07-12,65566.6
2024-07-13,22586.699999999997
2024-07-14,19926.58
2024-07-15,41096.65
2024-07-16,48552.75
2024-07-17,43802.99
2024-07-18,82240.19
2024-07-19,47530.5
2024-07-20,22108.55
2024-07-21,22724.67
2024-07-22,65996.31999999999
2024-07-23,30251.550000000003
2024-07-24,42162.79
2024-07-25,35916.47
2024-07-26,42959.47
2024-07-27,28408.35
2024-07-28,37503.280000000006
2024-07-29,64987.54
2024-07-30,19370.79
2024-07-31,11290.17
2024-08-01,67140.48000000001
2024-08-02,40860.81
2024-08-03,21464.65
2024-08-04,14586.96
2024-08-05,102028.63
2024-08-06,36468.05
2024-08-07,113451.76999999999
2024-08-08,41350.53
2024-08-09,51217.41
2024-08-10,16161.73
2024-08-11,15309.869999999999
2024-08-12,65754.15
2024-08-13,52805.05
2024-08-14,28670.83
2024-08-15,38635.43
2024-08-16,65717.72
2024-08-17,23422.84
2024-08-18,13542.82
2024-08-19,103214.64000000001
2024-08-20,35722.22
2024-08-21,34456.29
2024-08-22,60375.47
2024-08-23,32040.97
2024-08-24,14590.53
2024-08-25,18316.03
2024-08-26,68741.09
2024-08-27,47545.020000000004
2024-08-28,53666.46
2024-08-29,25762.230000000003
2024-08-30,27303.22
2024-08-31,7308.879999999999
2024-09-01,45982.869999999995
2024-09-02,20902.98
2024-09-03,100715.25
2024-09-04,79055.81
2024-09-05,39720.3
2024-09-06,42248.31
2024-09-07,21159.89
2024-09-08,22907.190000000002
2024-09-09,87863.33
2024-09-10,45820.43
2024-09-11,83570.05
2024-09-12,45345.34
2024-09-13,39077.93
2024-09-14,17509.64
2024-09-15,18914.86
2024-09-16,58902.490000000005
2024-09-17,51190.53
2024-09-18,47728.06
2024-09-19,57672.72
2024-09-20,74270.63
2024-09-21,22419.29
2024-09-22,23274.41
2024-09-23,62388.1
2024-09-24,46096.23
2024-09-25,31201.54
2024-09-26,88018.09999999999
2024-09-27,86332.46
2024-09-28,39472.41
2024-09-29,8934.759999999998
2024-09-30,56019.82
2024-10-01,61451.33
2024-10-02,36978.15
2024-10-03,41307.75
2024-10-04,53742.44
2024-10-05,19240.43
2024-10-06,20475.03
2024-10-07,102766.42
2024-10-08,39973.149999999994
2024-10-09,50410.06
2024-10-10,88606.76999999999
2024-10-11,43239.43
2024-10-12,28611.09
2024-10-13,21968.21
2024-10-14,41733.37
2024-10-15,58034.29
2024-10-16,43561.37
2024-10-17,82193.82
2024-10-18,35325.3
2024-10-19,14530.23
2024-10-20,22399.41
2024-10-21,105836.7
2024-10-22,40514.66
2024-10-23,32383.29
2024-10-24,46091.24
2024-10-25,51746.53999999999
2024-10-26,20255.79
2024-10-27,32076.710000000003
2024-10-28,84511.51000000001
2024-10-29,20496.55
2024-10-30,18449.92
2024-10-31,31927.89
2024-11-01,70130.04999999999
2024-11-02,23297.22
2024-11-03,23820.96
2024-11-04,59288.99
2024-11-05,60363.74
2024-11-06,48349.2
2024-11-07,62728.520000000004
2024-11-08,59719.09
2024-11-09,23178.210000000003
2024-11-10,20244.989999999998
2024-11-11,34099.61
2024-11-12,85662.56
2024-11-13,44640.009999999995
2024-11-14,46325.119999999995
2024-11-15,60308.7
2024-11-16,28144.600000000002
2024-11-17,25634.7
2024-11-18,74258.18
2024-11-19,41733.58
2024-11-20,37478.880000000005
2024-11-21,88222.55
2024-11-22,49034.0
2024-11-23,19638.04
2024-11-24,21276.5
2024-11-25,80796.7
2024-11-26,43116.65
2024-11-27,42694.78
2024-11-28,43895.729999999996
2024-11-29,13336.03
2024-11-30,9294.08
2024-12-01,63306.8
2024-12-02,87679.83
2024-12-03,46044.14
2024-12-04,49443.07
2024-12-05,45131.38
2024-12-06,56994.78
2024-12-07,22239.46
2024-12-08,28584.809999999998
2024-12-09,90498.46
2024-12-10,68978.5
2024-12-11,69209.44
2024-12-12,52764.29
2024-12-13,42740.95
2024-12-14,23554.05
2024-12-15,29674.86
2024-12-16,90500.25
2024-12-17,50027.12
2024-12-18,37850.76
2024-12-19,56856.89
2024-12-20,40722.56
2024-12-21,24799.06
2024-12-22,29141.06
2024-12-23,97090.33
2024-12-24,21531.8
2024-12-25,18159.84
2024-12-26,47575.54
2024-12-27,47358.5
2024-12-28,58639.619999999995
2024-12-29,13972.47
2024-12-30,39547.97
2024-12-31,25911.620000000003
2025-01-01,59459.469999999994
2025-01-02,57747.479999999996
2025-01-03,53074.66
2025-01-04,27226.46
2025-01-05,22066.43
2025-01-06,60735.86
2025-01-07,78025.55
2025-01-08,75610.59
2025-01-09,67854.0
2025-01-10,52240.65
2025-01-11,21289.65
2025-01-12,28566.54
2025-01-13,73629.95000000001
2025-01-14,76953.61
2025-01-15,61060.369999999995
2025-01-16,63809.44
2025-01-17,64358.29
2025-01-18,20509.260000000002
2025-01-19,20319.87
2025-01-20,39825.68
2025-01-21,48845.29
2025-01-22,52451.92
2025-01-23,58003.17
2025-01-24,40149.55
2025-01-25,21783.93
2025-01-26,21817.379999999997
2025-01-27,157081.68
2025-01-28,55793.689999999995
2025-01-29,27023.59
2025-01-30,42525.5
2025-01-31,47308.87
2025-02-01,62041.81
2025-02-02,27210.38
2025-02-03,75463.62
2025-02-04,72585.7
2025-02-05,36604.05
2025-02-06,34918.97
2025-02-07,80855.42
2025-02-08,30165.5
2025-02-09,23916.04
2025-02-10,81188.17
2025-02-11,37434.479999999996
2025-02-12,53537.979999999996
2025-02-13,56920.17
2025-02-14,46830.01
2025-02-15,28997.120000000003
2025-02-16,31094.32
2025-02-17,41868.29
2025-02-18,68328.34
2025-02-19,31546.16
2025-02-20,48216.880000000005
2025-02-21,48351.55
2025-02-22,29822.67
2025-02-23,24928.59
2025-02-24,102313.84999999999
2025-02-25,79536.27
2025-02-26,35946.56
2025-02-27,57962.75
2025-02-28,88564.2
2025-03-01,60799.25
2025-03-02,30267.8
